"model_id","model_name_pretty"
"ai21.jamba-1.5-mini","Jamba 1.5 Mini"
"ai21.jamba-1.5-large","Jamba 1.5 Large"
"ai21.jamba-1.5-large.bedrock","Jamba 1.5 Large (AWS Bedrock)"
"ai21.jamba-1.5-mini.bedrock","Jamda 1.5 Mini (AWS Bedrock)"
"ai21.jurassic-2-mid.bedrock","Jurassic-2 Mid (AWS Bedrock)"
"ai21.jurassic-2-ultra.bedrock","Jurassic-2 Ultra (AWS Bedrock)"
"ai21.jamba-instruct.bedrock","Jamba Instruct (AWS Bedrock)"
"amazon.nova-micro.bedrock","Nova Micro (AWS Bedrock)"
"amazon.nova-lite.bedrock","Nova Lite (AWS Bedrock)"
"amazon.nova-pro.bedrock","Nova Pro (AWS Bedrock)"
"amazon.titan-text-lite.bedrock","Titan Text Lite (AWS Bedrock)"
"amazon.titan-text-express.bedrock","Titan Text Express (AWS Bedrock)"
"amazon.titan-text-embeddings-v1.bedrock","Titan Text Embeddings V1 (AWS Bedrock)"
"amazon.titan-text-embeddings-v2.bedrock","Titan Text Embeddings V2 (AWS Bedrock)"
"anthropic.claude-3.5-sonnet.bedrock","Claude 3.5 Sonnet (AWS Bedrock)"
"anthropic.claude-3.5-haiku.bedrock","Claude 3.5 Haiku (AWS Bedrock)"
"anthropic.claude-3-opus.bedrock","Claude 3 Opus (AWS Bedrock)"
"anthropic.claude-3-haiku.bedrock","Claude 3 Haiku (AWS Bedrock)"
"anthropic.claude-3-sonnet.bedrock","Claude 3 Sonnet (AWS Bedrock)"
"anthropic.claude-2.1.bedrock","Claude 2.1 (AWS Bedrock)"
"anthropic.claude-2.0.bedrock","Claude 2.0 (AWS Bedrock)"
"anthropic.claude-instant.bedrock","Claude Instant (AWS Bedrock)"
"anthropic.claude-3.5-sonnet","Claude 3.5 Sonnet"
"anthropic.claude-3.5-haiku","Claude 3.5 Haiku"
"anthropic.claude-3-opus","Claude 3.5 Opus"
"anthropic.claude-3-haiku","Claude 3 Haiku"
"cohere.aya-expanse-8b","Aya Expanse 8B"
"cohere.aya-expanse-32B","Aya Expanse 32B"
"cohere.command-r-plus","Command R+"
"cohere.command-r","Command R"
"cohere.command-r7b","Command R7B"
"cohere.embed-3","Embed 3"
"cohere.command.bedrock","Command (AWS Bedrock)"
"cohere.command-light.bedrock","Command Light (AWS Bedrock)"
"cohere.command-r-plus.bedrock","Command R+ (AWS Bedrock)"
"cohere.command-r.bedrock","Command R (AWS Bedrock)"
"cohere.embed-3-english.bedrock","Embed 3 English (AWS Bedrock)"
"cohere.embed-3-multilingual.bedrock","Embed 3 Multilingual (AWS Bedrock)"
"meta.llama-3.3-instruct-70b.bedrock","Llama 3.3 Instruct 70B (AWS Bedrock)"
"meta.llama-3.2-instruct-1b.bedrock", "Llama 3.2 Instruct 1B (AWS Bedrock)"
"meta.llama-3.2-instruct-3b.bedrock","Llama 3.2 Instruct 3B (AWS Bedrock)"
"meta.llama-3.2-instruct-11b.bedrock","Llama 3.2 Instruct 11B (AWS Bedrock)"
"meta.llama-3.2-instruct-90b.bedrock","Llama 3.2 Instruct 90B (AWS Bedrock)"
"meta.llama-3.1-instruct-8b.bedrock","Llama 3.1 Instruct 8B (AWS Bedrock)"
"meta.llama-3.1-instruct-70b.bedrock","Llama 3.1 Instruct 70B (AWS Bedrock)"
"meta.llama-3.1-instruct-405b.bedrock","Llama 3.1 Instruct 405B (AWS Bedrock)"
"meta.llama-3.1-instruct-70b-latency-optimized.bedrock","Llama 3.1 Instruct 70B Latency Optimized (AWS Bedrock)"
"meta.llama-3.1-instruct-405b-latency-optimized.bedrock","Llama 3.1 Instruct 405B Latency Optimized (AWS Bedrock)"
"meta.llama-3-instruct-8b.bedrock","Llama 3 Instruct 8B (AWS Bedrock)"
"meta.llama-3-instruct-70b.bedrock","Llama 3 Instruct 70B (AWS Bedrock)"
"meta.llama-2-chat-13b.bedrock","Llama 2 Chat 13B (AWS Bedrock)"
"meta.llama-2-chat-70b.bedrock","Llama 2 Chat 70B (AWS Bedrock)"
"mistral.mistral-large","Mistral Large"
"mistral.mistral-small","Mistral Small"
"mistral.codestral","Codestral"
"mistral.ministral-8b","Ministral 8B"
"mistral.ministral-3b","Ministral 3B"
"mistral.mistral-embed","Mistral Embed"
"mistral.mistral-nemo","Mistral NeMo"
"mistral.mistral-7b","Mistral 7B"
"mistral.mistral-8x7b","Mistral 8x7B"
"mistral.mistral-8x22b","Mistral 8x22B"
"mistral.mistral-7b.bedrock","Mistral 7B (AWS Bedrock)"
"mistral.mistral-8x7b.bedrock","Mistral 8x7B (AWS Bedrock)"
"mistral.mistral-large.bedrock","Mistral Large (AWS Bedrock)"
"mistral.mistral-large-2.bedrock","Mistral Large 2 (AWS Bedrock)"
"openai.gpt-4o","GPT-4o"
"openai.gpt-4o-mini","GPT-4o mini"
"openai.o1","o1"
"openai.o1-mini","o1-mini"
"openai.gpt-4-turbo","GPT-4o Turbo"
"openai.gpt-4","GPT-4"
"openai.gpt-3.5-turbo","GPT-3.5 Turbo"
"openai.text-embedding-3-small","Text Embedding 3 Small"
"openai.text-embedding-3-large","Text Embedding 3 Large"