"provider_id","model_id","cost_per_1k_input_tokens","cost_per_1k_output_tokens"
"ai21","ai21.jamba-1.5-mini",0.0002,0.0004
"ai21","ai21.jamba-1.5-large",0.002,0.008
"ai21","ai21.jamba-1.5-large.bedrock",0.002,0.008
"a121","ai21.jamba-1.5-mini.bedrock",0.0002,0.0004
"ai21","ai21.jurassic-2-mid.bedrock",0.0125,0.0125
"ai21","ai21.jurassic-2-ultra.bedrock",0.0188,0.0188
"ai21","ai21.jamba-instruct.bedrock",0.0005,0.0007
"amazon","amazon.nova-micro.bedrock",0.000035,0.00014
"amazon","amazon.nova-lite.bedrock",0.00006,0.00024
"amazon","amazon.nova-pro.bedrock",0.0008,0.0032
"amazon","amazon.titan-text-embeddings-v1.bedrock",0.00001,0.0
"amazon","amazon.titan-text-embeddings-v2.bedrock",0.00002,0.0
"amazon","amazon.titan-text-lite.bedrock",0.00015,0.0002
"amazon","amazon.titan-text-express.bedrock",0.0002,0.0006
"anthropic","anthropic.claude-3.5-sonnet.bedrock",0.003,0.015
"anthropic","anthropic.claude-3.5-haiku.bedrock",0.0008,0.004
"anthropic","anthropic.claude-3-opus.bedrock",0.015,0.075
"anthropic","anthropic.claude-3-haiku.bedrock",0.00025,0.00125
"anthropic","anthropic.claude-3-sonnet.bedrock",0.003,0.015
"anthropic","anthropic.claude-2.1.bedrock",0.008,0.024
"anthropic","anthropic.claude-2.0.bedrock",0.008,0.024
"anthropic","anthropic.claude-instant.bedrock",0.0008,0.0024
"anthropic","anthropic.claude-3.5-sonnet",0.003,0.015
"anthropic","anthropic.claude-3.5-haiku",0.0008,0.004
"anthropic","anthropic.claude-3-opus",0.015,0.075
"anthropic","anthropic.claude-3-haiku",0.00025,0.00125
"cohere","cohere.aya-expanse-8b",0.0005,0.0015
"cohere","cohere.aya-expanse-32B",0.0005,0.0015
"cohere","cohere.command-r-plus",0.0025,0.01
"cohere","cohere.command-r",0.00015,0.0006
"cohere","cohere.command-r7b",0.0000375,0.00015
"cohere","cohere.embed-3",0.0001,0.0
"cohere","cohere.command.bedrock",0.0015,0.0020
"cohere","cohere.command-light.bedrock",0.0003,0.0006
"cohere","cohere.command-r-plus.bedrock",0.003,0.0150
"cohere","cohere.command-r.bedrock",0.0005,0.0015
"cohere","cohere.embed-3-english.bedrock",0.0001,0.0
"cohere","cohere.embed-3-multilingual.bedrock",0.0001,0.0
"meta","meta.llama-3.3-instruct-70b.bedrock",0.00072,0.00072
"meta","meta.llama-3.2-instruct-1b.bedrock",0.0001,0.0001
"meta","meta.llama-3.2-instruct-3b.bedrock",0.00015,0.00015
"meta","meta.llama-3.2-instruct-11b.bedrock",0.00016,0.00016
"meta","meta.llama-3.2-instruct-90b.bedrock",0.00072,0.00072
"meta","meta.llama-3.1-instruct-8b.bedrock",0.00022,0.00022
"meta","meta.llama-3.1-instruct-70b.bedrock",0.00072,0.00072
"meta","meta.llama-3.1-instruct-405b.bedrock",0.0024,0.0024
"meta","meta.llama-3.1-instruct-70b-latency-optimized.bedrock",0.0009,0.0009
"meta","meta.llama-3.1-instruct-405b-latency-optimized.bedrock",0.003,0.003
"meta","meta.llama-3-instruct-8b.bedrock",0.0003,0.0006
"meta","meta.llama-3-instruct-70b.bedrock",0.00265,0.0035
"meta","meta.llama-2-chat-13b.bedrock",0.00075,0.001
"meta","meta.llama-2-chat-70b.bedrock",0.00195,0.00256
"mistral","mistral.mistral-large",0.002,0.006
"mistral","mistral.mistral-small",0.0001,0.0003
"mistral","mistral.codestral",0.0003,0.0009
"mistral","mistral.ministral-8b",0.0001,0.0001
"mistral","mistral.ministral-3b",0.00004,0.00004
"mistral","mistral.mistral-embed",0.0001,0.0
"mistral","mistral.mistral-nemo",0.00015,0.00015
"mistral","mistral.mistral-7b",0.00025,0.00025
"mistral","mistral.mistral-8x7b",0.0007,0.0007
"mistral","mistral.mistral-8x22b",0.002,0.006
"mistral","mistral.mistral-7b.bedrock",0.00015,0.0002
"mistral","mistral.mistral-8x7b.bedrock",0.00045,0.0007
"mistral","mistral.mistral-large.bedrock",0.004,0.012
"mistral","mistral.mistral-large-2.bedrock",0.002,0.006
"openai","openai.gpt-4o",0.0025,0.01
"openai","openai.gpt-4o-mini",0.00015,0.0006
"openai","openai.o1",0.015,0.06
"openai","openai.o1-mini",0.003,0.012
"openai","openai.gpt-4-turbo",0.01,0.03
"openai","openai.gpt-4",0.03,0.06
"openai","openai.gpt-3.5-turbo",0.0005,0.0015
"openai","openai.text-embedding-3-small",0.00002,0.0
"openai","openai.text-embedding-3-large",0.00013,0.0